,CumBOE,CumGas,CumOil,DrillType,Field,First6BOE,FirstProdDate,GrossPerforatedInterval,HorizontalLength,LowerPerforation,OperatorAlias,Range,TargetFormation,TotalDepth,Township,TreatmentJobCount,UpperPerforation,VerticalDepth,WellName,WellNumber,gel,sandmass,slick,xlinkgel
5123406820000,158122.0,194955.0,125630.0,H,WILDCAT,73237.0,2015-09-01,4067.0,4565.89,10677.0,NOBLE ENERGY,59W,NIOBRARA,10777.0,09N,1.0,6610.0,5983.0,KEVIN,LC26-728,0.0,2746701.6988335443,1.0,0.0
5123406830000,89189.0,109155.0,70997.0,H,WILDCAT,46738.0,2015-09-01,3668.0,4969.49,10221.0,NOBLE ENERGY,59W,NIOBRARA,10305.0,09N,1.0,6553.0,5999.0,NEAL,LC35-738,0.0,2495710.5201235325,1.0,0.0
5123406840000,96804.0,110390.0,78406.0,H,WILDCAT,41362.0,2015-09-01,4122.0,4615.29,10650.0,NOBLE ENERGY,59W,NIOBRARA,10745.0,09N,1.0,6528.0,5940.24,KEVIN,LC26-748,1.0,26606130.47233295,1.0,0.0
5123406850000,129166.0,172644.0,100392.0,H,WILDCAT,61402.0,2015-09-01,4096.0,4564.55,10657.0,NOBLE ENERGY,59W,NIOBRARA,10757.0,09N,1.0,6561.0,6017.0,KEVIN,LC26-742,0.0,2757655.538829989,1.0,0.0
5123406880000,93260.0,123157.0,72733.0,H,WILDCAT,43928.0,2015-09-01,3671.0,5016.75,10141.0,NOBLE ENERGY,59W,NIOBRARA,10258.0,09N,1.0,6470.0,5973.0,GLEASON,LC35-725,0.0,5317325.199578098,1.0,0.0
5123406890000,116049.0,150154.0,91023.0,H,WILDCAT,63637.0,2015-09-01,3654.0,4494.81,10043.0,NOBLE ENERGY,59W,NIOBRARA,10160.0,09N,1.0,6389.0,5931.0,GLEASON,LC26-720,0.0,2792546.8153597577,1.0,0.0
5123406900000,151344.0,177243.0,121804.0,H,WILDCAT,77413.0,2015-09-01,4068.0,4511.17,10615.0,NOBLE ENERGY,59W,NIOBRARA,10714.0,09N,1.0,6547.0,6005.0,GLEASON,LC26-713,0.0,3137839.519863805,1.0,0.0
5123406910000,112350.0,139928.0,89028.0,H,WILDCAT,51191.0,2015-09-01,3672.0,5014.33,10232.0,NOBLE ENERGY,59W,NIOBRARA,10343.0,09N,2.0,6560.0,6035.0,GLEASON,LC35-715,0.0,2966916.390769593,1.0,0.0
5123406920000,109150.0,298854.0,59341.0,H,WATTENBERG,71517.0,2017-04-01,4170.0,5069.37,11885.0,EXTRACTION O&G,65W,NIOBRARA,11945.0,06N,1.0,7715.0,6992.0,MATRIX,A-29HN,0.0,8276280.970178177,1.0,1.0
5123406930000,85093.0,262653.0,41317.0,H,WATTENBERG,56048.0,2017-05-01,,4316.18,,EXTRACTION O&G,65W,NIOBRARA,10167.0,06N,1.0,,6870.0,MATRIX,G-29HN,0.0,8276280.970178177,1.0,1.0
